Iteration,Time_Bulk_Loading,Time_Candidate_Retrieval
1,3.12591,0
2,3.07019,0
3,3.02321,0.002
4,3.03872,0
5,3.03053,0.015008
6,3.0096,0.001475
7,3.01293,0
8,3.00632,0
9,2.99058,0.002011
10,3.06384,0
11,3.22558,0.001556
12,2.98899,0
13,2.95977,0
14,5.31627,0
15,3.12774,0
16,2.99286,0
17,3.0464,0
18,3.2272,0
19,3.07704,0
20,3.00917,0.002
21,3.06146,0
22,2.98452,0
23,3.05199,0
24,3.08878,0
25,3.03714,0
26,2.98528,0
27,3.05417,0
28,3.03307,0
29,2.96794,0
30,3.3228,0
31,2.96972,0
32,2.93996,0
33,2.89088,0.003006
34,2.99471,0
35,2.90025,0
36,2.96228,0
37,3.08918,0
38,2.91692,0
39,2.95988,0.002002
40,2.93367,0
41,3.0507,0
42,2.89937,0
43,2.94337,0
44,2.92812,0
45,3.02311,0.002001
46,3.48313,0
47,2.95054,0
48,2.89234,0
49,3.33968,0.004016
50,2.92546,0
